id_entrance;name;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle
14800;К трамваям в центр;82;in;55.7516306;37.7162886;740;43;15;0;0;280;680;15
14801;К трамваям в центр;82;out;55.7516306;37.7162886;740;43;10;0;0;320;680;27
14810;К трамваям в область;82;in;55.7515293;37.7163578;740;41;41;0;0;0;0;0
14811;К трамваям в область;82;out;55.7515293;37.7163578;740;41;36;0;0;320;910;27
14820;Западная сторона Авиамоторной улицы;82;in;55.75200079;37.71670679;740;49;49;0;0;0;0;0
14821;Западная сторона Авиамоторной улицы;82;out;55.75200079;37.71670679;740;49;44;0;0;320;910;27
14830;Южная сторона шоссе Энтузиастов;82;in;55.7512042;37.7165431;740;41;15;0;0;280;680;15
14831;Южная сторона шоссе Энтузиастов;82;out;55.7512042;37.7165431;740;41;10;0;0;320;680;27
14840;На север, к рынку;82;in;55.75235914;37.71704343;740;50;50;0;0;0;0;0
14841;На север, к рынку;82;out;55.75235914;37.71704343;740;50;45;0;0;320;910;27
14850;Путепровод;82;in;55.75199246;37.71744521;740;50;50;0;0;0;0;0
14851;Путепровод;82;out;55.75199246;37.71744521;740;50;45;0;0;320;910;27
14860;Авиамоторная улица на юг, восточная сторона;82;in;55.7509103;37.7178209;740;41;15;0;0;280;680;15
14861;Авиамоторная улица на юг, восточная сторона;82;out;55.7509103;37.7178209;740;41;10;0;0;320;680;27
14870;К платформе Новая;82;in;55.7510902;37.7179455;740;42;15;0;0;280;680;15
14871;К платформе Новая;82;out;55.7510902;37.7179455;740;42;10;0;0;320;680;27
14880;Авиамоторная улица на юг, западная сторона;82;in;55.7508406;37.7175337;740;44;44;0;0;0;0;0
14881;Авиамоторная улица на юг, западная сторона;82;out;55.7508406;37.7175337;740;44;39;0;0;320;910;27
14890;В сторону области;29;both;55.70630611;37.6571665;790;0;0;0;0;0;0;0
14900;В сторону центра, из стеклянных дверей налево. К торговым центрам.;29;both;55.70865724;37.65732061;790;33;4;0;0;330;820;20
14910;В сторону центра, из стеклянных дверей направо. К Автозаводской улице.;29;both;55.70846604;37.65812781;790;32;4;0;0;310;800;20
14920;ул. Дмитрия Ульянова;101;out;55.6871860715;37.5723893715;530;29;0;0;0;0;0;0
14921;Профсоюзная улица;101;out;55.6869882565;37.5721915565;530;33;0;0;0;0;0;0
14922;ул. Дмитрия Ульянова;101;in;55.6871860715;37.5723893715;530;73;0;0;0;0;0;0
14923;Профсоюзная улица;101;in;55.6869882565;37.5721915565;530;77;0;0;0;0;0;0
14930;ул. Дмитрия Ульянова;101;out;55.6869715981;37.5730589672;530;30;0;0;0;0;0;0
14931;Профсоюзная улица;101;out;55.6867753562;37.5728476298;530;33;0;0;0;0;0;0
14932;ул. Дмитрия Ульянова;101;in;55.6869715981;37.5730589672;530;74;0;0;0;0;0;0
14933;Профсоюзная улица;101;in;55.6867753562;37.5728476298;530;77;0;0;0;0;0;0
14940;проспект 60-летия Октября;101;both;55.6888019309;37.5741496191;780;48;23;0;0;290;760;22
14941;ул. Дмитрия Ульянова;101;both;55.6886170107;37.5739307339;780;51;51;0;0;0;0;0
14950;проспект 60-летия Октября;101;both;55.6886132368;37.574855335;780;47;47;0;0;0;0;0
14951;площадь Хо Ши Мина;101;both;55.6883339695;37.5745458767;780;51;23;0;0;290;760;24
14960;улица Воздвиженка, улица Моховая, РГБ;54;in;55.75222369;37.61004135;730;67;36;0;0;310;860;20
14961;улица Воздвиженка, улица Моховая, РГБ;54;out;55.75222369;37.61004135;730;81;43;0;0;310;860;20
14962;улица Воздвиженка, улица Моховая, РГБ;44;in;55.7522236899999;37.61004135;730;47;16;0;0;310;860;20
14963;улица Воздвиженка, улица Моховая, РГБ;44;out;55.7522236899999;37.61004135;730;61;30;0;0;310;860;20
14964;улица Воздвиженка, улица Моховая, РГБ;11;in;55.7522236899999;37.61004135;730;80;42;0;0;310;860;20
14965;улица Воздвиженка, улица Моховая, РГБ;11;out;55.7522236899999;37.61004135;730;86;48;0;0;310;860;20
14970;улица Воздвиженка, улица Моховая, РГБ;54;in;55.7520257999999;37.61023103;730;61;61;0;0;0;0;0
14971;улица Воздвиженка, улица Моховая, РГБ;54;out;55.7520257999999;37.61023103;730;70;70;0;0;0;0;0
14972;улица Воздвиженка, улица Моховая, РГБ;44;in;55.7520257999999;37.61023103;730;41;41;0;0;0;0;0
14973;улица Воздвиженка, улица Моховая, РГБ;44;out;55.7520257999999;37.61023103;730;55;55;0;0;0;0;0
